image_id,device_id,timestamp,source_type,image_path,processed_path,width,height,brightness,processing_status,processing_time_ms,note
img_2d74745232,simulated_camera,2026-06-09T07:36:26,demo_script,data/raw_images/img_2d74745232.jpg,data/processed_images/img_2d74745232_processed_steps.jpg,640,360,233.55,processed,171.03,demo_frame=0
img_e35d0bf94d,simulated_camera,2026-06-09T07:36:26,demo_script,data/raw_images/img_e35d0bf94d.jpg,data/processed_images/img_e35d0bf94d_processed_steps.jpg,640,360,233.55,processed,7.17,demo_frame=1
img_494650f8dd,camera:no_camera_fallback,2026-06-09T07:36:29,motion_capture,data/raw_images/img_494650f8dd.jpg,data/processed_images/img_494650f8dd_processed_steps.jpg,640,360,233.55,processed,5.06,"motion_score=1162.0, threshold=25, min_area=800"
img_849a440f59,simulated_camera,2026-06-09T23:06:11,demo_script,data/raw_images/img_849a440f59.jpg,data/processed_images/img_849a440f59_processed_steps.jpg,640,360,233.51,processed,5.86,demo_frame=0
img_fe04ecfb6a,simulated_camera,2026-06-09T23:06:11,demo_script,data/raw_images/img_fe04ecfb6a.jpg,data/processed_images/img_fe04ecfb6a_processed_steps.jpg,640,360,233.51,processed,3.06,demo_frame=1
img_1ac891f50e,camera:no_camera_fallback,2026-06-09T23:06:13,motion_capture,data/raw_images/img_1ac891f50e.jpg,data/processed_images/img_1ac891f50e_processed_steps.jpg,640,360,233.51,processed,2.0,"motion_score=1162.0, threshold=25, min_area=800"
img_2d06241ff9,image_upload_dashboard,2026-06-09T23:06:54,upload,data/raw_images/img_2d06241ff9.jpg,data/processed_images/img_2d06241ff9_processed_steps.jpg,507,376,107.85,processed,4.83,filename=chayla.jpg
img_f9a4493874,camera:0,2026-06-10T07:34:39,simulated,data/raw_images/img_f9a4493874.jpg,data/processed_images/img_f9a4493874_processed_steps.jpg,640,360,233.51,processed,25.84,snapshot button
img_afc5e6ab30,camera:0,2026-06-10T07:34:39,simulated,data/raw_images/img_afc5e6ab30.jpg,data/processed_images/img_afc5e6ab30_processed_steps.jpg,640,360,233.51,processed,2.05,snapshot button
img_1f23f053cf,camera:0,2026-06-10T07:34:39,simulated,data/raw_images/img_1f23f053cf.jpg,data/processed_images/img_1f23f053cf_processed_steps.jpg,640,360,233.51,processed,3.06,snapshot button
